,Timestamp,Data
3262,102837.58408854392,[-92.]
3263,102837.59176564415,[-22.]
3264,102837.59944274437,[-56.]
3265,102837.60711984459,[-56.]
3266,102837.61479694479,[-14.]
3267,102837.62247404501,[-14.]
3268,102837.63015114523,[-14.]
3269,102837.63782824545,[4.]
3270,102837.64550534567,[22.]
3271,102837.6531824459,[31.]
3272,102837.6608595461,[51.]
3273,102837.66853664632,[70.]
3274,102837.67621374654,[88.]
3275,102837.68389084676,[114.]
3276,102837.69156794698,[144.]
3277,102837.69924504719,[173.]
3278,102837.70692214741,[202.]
3279,102837.71459924763,[224.]
3280,102837.72227634785,[237.]
3281,102837.72995344807,[242.]
3282,102837.73763054829,[234.]
3283,102837.7453076485,[205.]
3284,102837.75298474872,[146.]
3285,102837.76066184894,[73.]
3286,102837.76833894916,[2.]
3287,102837.77601604938,[-51.]
3288,102837.78369314958,[-88.]
3289,102837.7913702498,[-110.]
3290,102837.79904735002,[-119.]
3291,102837.80672445025,[-124.]
3292,102837.81440155047,[-132.]
3293,102837.82207865069,[-132.]
3294,102837.82975575089,[-124.]
3295,102837.83743285111,[-117.]
3296,102837.84510995133,[-107.]
3297,102837.85278705155,[-100.]
3298,102837.86046415177,[-92.]
3299,102837.868141252,[-83.]
3300,102837.8758183522,[-75.]
3301,102837.88349545242,[-73.]
3302,102837.89117255264,[-68.]
3303,102837.89884965286,[-63.]
3304,102837.90652675308,[-58.]
3305,102837.91420385329,[-58.]
3306,102837.92188095351,[-56.]
3307,102837.92955805373,[-53.]
3308,102837.93723515395,[-51.]
3309,102837.94491225417,[-48.]
3310,102837.95258935439,[-46.]
3311,102837.9602664546,[-46.]
3312,102837.96794355482,[-44.]
3313,102837.97562065504,[-41.]
3314,102837.98329775526,[-41.]
3315,102837.99097485548,[-41.]
3316,102837.99865195568,[-41.]
3317,102838.0063290559,[-44.]
3318,102838.01400615613,[-46.]
3319,102838.02168325635,[-48.]
3320,102838.02936035657,[-31.]
3321,102838.03703745679,[-2.]
3322,102838.04471455699,[2.]
3323,102838.05239165721,[-19.]
3324,102838.06006875743,[-36.]
3325,102838.06774585765,[-41.]
3326,102838.07542295787,[-44.]
3327,102838.0831000581,[-44.]
3328,102838.0907771583,[-39.]
3329,102838.09845425852,[-34.]
3330,102838.10613135874,[-34.]
3331,102838.11380845896,[-36.]
3332,102838.12148555918,[-36.]
3333,102838.12916265939,[-34.]
3334,102838.13683975961,[-31.]
3335,102838.14451685983,[-26.]
3336,102838.15219396005,[-24.]
3337,102838.15987106027,[-24.]
3338,102838.16754816049,[-48.]
3339,102838.1752252607,[-85.]
3340,102838.18290236092,[24.]
3341,102838.19057946114,[432.]
3342,102838.19825656136,[892.]
3343,102838.20593366158,[929.]
3344,102838.21361076178,[364.]
3345,102838.221287862,[-195.]
3346,102838.22896496223,[-107.]
3347,102838.23664206245,[75.]
3348,102838.24431916267,[-68.]
3349,102838.25199626289,[-112.]
3350,102838.25967336309,[-26.]
3351,102838.26735046331,[-39.]
3352,102838.27502756353,[-63.]
3353,102838.28270466375,[-24.]
3354,102838.29038176397,[-9.]
3355,102838.2980588642,[-12.]
3356,102838.3057359644,[2.]
3357,102838.31341306462,[17.]
3358,102838.32109016484,[31.]
3359,102838.32876726506,[48.]
3360,102838.33644436528,[66.]
3361,102838.34412146549,[88.]
3362,102838.35179856571,[114.]
3363,102838.35947566593,[141.]
3364,102838.36715276615,[171.]
3365,102838.37482986637,[193.]
3366,102838.38250696659,[215.]
3367,102838.3901840668,[234.]
3368,102838.39786116702,[234.]
3369,102838.40553826724,[224.]
3370,102838.41321536746,[205.]
3371,102838.42089246768,[154.]
3372,102838.42856956788,[78.]
3373,102838.4362466681,[7.]
3374,102838.44392376833,[-53.]
3375,102838.45160086855,[-97.]
3376,102838.45927796877,[-124.]
3377,102838.46695506899,[-144.]
3378,102838.4746321692,[-146.]
3379,102838.48230926941,[-136.]
3380,102838.48998636963,[-134.]
3381,102838.49766346985,[-144.]
3382,102838.50534057007,[-136.]
3383,102838.51301767028,[-117.]
3384,102838.5206947705,[-112.]
3385,102838.52837187072,[-119.]
3386,102838.53604897094,[-112.]
3387,102838.54372607116,[-100.]
3388,102838.55140317138,[-95.]
3389,102838.55908027159,[-88.]
3390,102838.56675737181,[-83.]
3391,102838.57443447203,[-80.]
3392,102838.58211157225,[-83.]
3393,102838.58978867247,[-78.]
3394,102838.59746577269,[-68.]
3395,102838.6051428729,[-63.]
3396,102838.61281997312,[-73.]
3397,102838.62049707334,[-80.]
3398,102838.62817417356,[-75.]
3399,102838.63585127378,[-73.]
3400,102838.64352837398,[-70.]
3401,102838.6512054742,[-46.]
3402,102838.65888257443,[-17.]
3403,102838.66655967465,[-22.]
3404,102838.67423677487,[-53.]
3405,102838.68191387509,[-66.]
3406,102838.6895909753,[-63.]
3407,102838.69726807551,[-73.]
3408,102838.70494517573,[-78.]
3409,102838.71262227595,[-66.]
3410,102838.72029937617,[-58.]
3411,102838.72797647638,[-63.]
3412,102838.7356535766,[-63.]
3413,102838.74333067682,[-61.]
3414,102838.75100777704,[-61.]
3415,102838.75868487726,[-61.]
3416,102838.76636197748,[-61.]
3417,102838.77403907769,[-56.]
3418,102838.78171617791,[-51.]
3419,102838.78939327813,[-51.]
3420,102838.79707037835,[-78.]
3421,102838.80474747857,[-97.]
3422,102838.81242457879,[112.]
3423,102838.820101679,[628.]
3424,102838.82777877922,[1041.]
3425,102838.83545587944,[829.]
3426,102838.84313297966,[70.]
3427,102838.85081007988,[-313.]
3428,102838.85848718008,[-51.]
3429,102838.8661642803,[26.]
3430,102838.87384138053,[-141.]
3431,102838.88151848075,[-102.]
3432,102838.88919558097,[-31.]
3433,102838.89687268119,[-73.]
3434,102838.9045497814,[-73.]
3435,102838.91222688161,[-31.]
3436,102838.91990398183,[-24.]
3437,102838.92758108205,[-19.]
3438,102838.93525818227,[-2.]
3439,102838.94293528248,[4.]
3440,102838.9506123827,[19.]
3441,102838.95828948292,[51.]
3442,102838.96596658314,[70.]
3443,102838.97364368336,[85.]
3444,102838.98132078358,[110.]
3445,102838.98899788379,[144.]
3446,102838.99667498401,[180.]
3447,102839.00435208423,[210.]
3448,102839.01202918445,[222.]
3449,102839.01970628467,[227.]
3450,102839.02738338488,[227.]
3451,102839.0350604851,[210.]
3452,102839.04273758532,[168.]
3453,102839.05041468554,[97.]
3454,102839.05809178576,[14.]
3455,102839.06576888598,[-56.]
3456,102839.07344598619,[-107.]
3457,102839.0811230864,[-149.]
3458,102839.08880018663,[-178.]
3459,102839.09647728685,[-193.]
3460,102839.10415438707,[-183.]
3461,102839.11183148729,[-176.]
3462,102839.1195085875,[-183.]
3463,102839.12718568771,[-176.]
3464,102839.13486278793,[-158.]
3465,102839.14253988815,[-151.]
3466,102839.15021698838,[-149.]
3467,102839.15789408858,[-136.]
3468,102839.1655711888,[-127.]
3469,102839.17324828902,[-127.]
3470,102839.18092538924,[-114.]
3471,102839.18860248946,[-90.]
3472,102839.19627958968,[-85.]
3473,102839.20395668989,[-100.]
3474,102839.21163379011,[-95.]
3475,102839.21931089033,[-78.]
3476,102839.22698799055,[-83.]
3477,102839.23466509077,[-90.]
3478,102839.24234219098,[-63.]
3479,102839.2500192912,[-36.]
3480,102839.25769639142,[-48.]
3481,102839.26537349164,[-75.]
3482,102839.27305059186,[-83.]
3483,102839.28072769208,[-85.]
3484,102839.28840479229,[-95.]
3485,102839.2960818925,[-85.]
3486,102839.30375899273,[-78.]
3487,102839.31143609295,[-90.]
3488,102839.31911319317,[-83.]
3489,102839.32679029339,[-70.]
3490,102839.3344673936,[-75.]
3491,102839.34214449381,[-78.]
3492,102839.34982159403,[-78.]
3493,102839.35749869425,[-70.]
3494,102839.36517579448,[-63.]
3495,102839.37285289468,[-63.]
3496,102839.3805299949,[-58.]
3497,102839.38820709512,[-63.]
3498,102839.39588419534,[-102.]
3499,102839.40356129556,[-83.]
3500,102839.41123839578,[200.]
3501,102839.41891549599,[716.]
3502,102839.42659259621,[1031.]
3503,102839.43426969643,[670.]
3504,102839.44194679665,[-95.]
3505,102839.44962389687,[-291.]
3506,102839.45730099708,[9.]
3507,102839.4649780973,[-2.]
3508,102839.47265519752,[-144.]
3509,102839.48033229774,[-80.]
3510,102839.48800939796,[-41.]
3511,102839.49568649818,[-78.]
3512,102839.50336359839,[-53.]
3513,102839.5110406986,[-19.]
3514,102839.51871779883,[-19.]
3515,102839.52639489905,[-22.]
3516,102839.53407199927,[-12.]
3517,102839.54174909949,[7.]
3518,102839.5494261997,[31.]
3519,102839.55710329991,[46.]
3520,102839.56478040013,[68.]
3521,102839.57245750036,[100.]
3522,102839.58013460058,[124.]
3523,102839.58781170078,[151.]
3524,102839.595488801,[178.]
3525,102839.60316590122,[195.]
3526,102839.61084300144,[217.]
3527,102839.61852010166,[232.]
3528,102839.62619720188,[220.]
3529,102839.63387430209,[195.]
3530,102839.64155140231,[149.]
3531,102839.64922850253,[58.]
3532,102839.65690560275,[-26.]
3533,102839.66458270297,[-73.]
3534,102839.67225980318,[-107.]
3535,102839.6799369034,[-154.]
3536,102839.68761400362,[-176.]
3537,102839.69529110384,[-163.]
3538,102839.70296820406,[-158.]
3539,102839.71064530428,[-171.]
3540,102839.71832240449,[-168.]
3541,102839.7259995047,[-154.]
3542,102839.73367660493,[-146.]
3543,102839.74135370515,[-134.]
3544,102839.74903080537,[-132.]
3545,102839.75670790557,[-134.]
3546,102839.7643850058,[-119.]
3547,102839.77206210601,[-102.]
3548,102839.77973920623,[-102.]
3549,102839.78741630646,[-102.]
3550,102839.79509340668,[-97.]
