Timestamp;Data
884811.148327592;10
884811.156005626;258
884811.163683661;460
884811.171361695;377
884811.17903973;58
884811.186717764;326
884811.194395799;151
884811.202073833;55
884811.209751867;161
884811.217429902;151
884811.225107936;93
884811.232785971;111
884811.240464005;116
884811.24814204;86
884811.255820074;73
884811.263498109;65
884811.271176143;40
884811.278854178;20
884811.286532212;5
884811.294210247;17
884811.301888281;48
884811.309566316;65
884811.31724435;80
884811.324922384;88
884811.332600419;80
884811.340278453;63
884811.347956488;40
884811.355634522;15
884811.363312557;10
884811.370990591;32
884811.378668626;58
884811.38634666;80
884811.394024695;98
884811.401702729;108
884811.409380764;116
884811.417058798;131
884811.424736832;139
884811.432414867;131
884811.440092901;121
884811.447770936;121
884811.45544897;126
884811.463127005;129
884811.470805039;126
884811.478483074;121
884811.486161108;121
884811.493839143;121
884811.501517177;124
884811.509195212;126
884811.516873246;121
884811.524551281;108
884811.532229315;83
884811.539907349;73
884811.547585384;101
884811.555263418;131
884811.562941453;139
884811.570619487;144
884811.578297522;144
884811.585975556;136
884811.593653591;139
884811.601331625;136
884811.60900966;131
884811.616687694;129
884811.624365729;131
884811.632043763;126
884811.639721798;30
884811.647399832;237
884811.655077866;536
884811.662755901;546
884811.670433935;80
884811.67811197;331
884811.685790004;194
884811.693468039;48
884811.701146073;167
884811.708824108;172
884811.716502142;93
884811.724180177;111
884811.731858211;124
884811.739536245;91
884811.74721428;75
884811.754892314;68
884811.762570349;48
884811.770248383;30
884811.777926418;15
884811.785604452;10
884811.793282487;37
884811.800960521;63
884811.808638556;83
884811.81631659;91
884811.823994625;80
884811.831672659;63
884811.839350694;43
884811.847028728;22
884811.854706762;5
884811.862384797;15
884811.870062831;35
884811.877740866;55
884811.8854189;65
884811.893096935;78
884811.900774969;83
884811.908453004;83
884811.916131038;83
884811.923809073;80
884811.931487107;75
884811.939165142;73
884811.946843176;78
884811.954521211;86
884811.962199245;91
884811.96987728;88
884811.977555314;83
884811.985233348;80
884811.992911383;83
884812.000589417;98
884812.008267452;111
884812.015945486;106
884812.023623521;80
884812.031301555;55
884812.03897959;60
884812.046657624;88
884812.054335659;108
884812.062013693;113
884812.069691728;113
884812.077369762;108
884812.085047797;101
884812.092725831;101
884812.100403865;101
884812.1080819;96
884812.115759934;101
884812.123437969;129
884812.131116003;106
884812.138794038;118
884812.146472072;511
884812.154150107;756
884812.161828141;460
884812.169506176;161
884812.17718421;303
884812.184862245;58
884812.192540279;83
884812.200218313;187
884812.207896348;113
884812.215574382;80
884812.223252417;118
884812.230930451;101
884812.238608486;70
884812.24628652;70
884812.253964555;55
884812.261642589;27
884812.269320624;10
884812.276998658;5
884812.284676693;32
884812.292354727;55
884812.300032761;75
884812.307710796;88
884812.31538883;88
884812.323066865;73
884812.330744899;55
884812.338422934;35
884812.346100968;20
884812.353779003;0
884812.361457037;20
884812.369135072;43
884812.376813106;60
884812.384491141;70
884812.392169175;73
884812.39984721;70
884812.407525244;73
884812.415203279;78
884812.422881313;78
884812.430559347;78
884812.438237382;80
884812.445915416;88
884812.453593451;91
884812.461271485;93
884812.46894952;98
884812.476627554;101
884812.484305589;103
884812.491983623;106
884812.499661657;111
884812.507339692;113
884812.515017726;106
884812.522695761;83
884812.530373795;48
884812.53805183;50
884812.545729864;93
884812.553407899;116
884812.561085933;116
884812.568763968;121
884812.576442002;118
884812.584120037;113
884812.591798071;113
884812.599476106;111
884812.60715414;106
884812.614832175;116
884812.622510209;154
884812.630188243;151
884812.637866278;73
884812.645544312;480
884812.653222347;739
884812.660900381;465
884812.668578416;151
884812.67625645;316
884812.683934485;73
884812.691612519;80
884812.699290554;187
884812.706968588;121
884812.714646623;88
884812.722324657;118
884812.730002692;98
884812.737680726;68
884812.74535876;68
884812.753036795;55
884812.760714829;32
884812.768392864;17
884812.776070898;0
884812.783748933;25
884812.791426967;48
884812.799105002;60
884812.806783036;70
884812.814461071;68
884812.822139105;55
884812.82981714;32
884812.837495174;7
884812.845173209;2
884812.852851243;7
884812.860529277;27
884812.868207312;55
884812.875885346;78
884812.883563381;93
884812.891241415;98
884812.89891945;96
884812.906597484;98
884812.914275519;101
884812.921953553;96
884812.929631588;101
884812.937309622;116
884812.944987657;121
884812.952665691;126
884812.960343725;131
884812.96802176;131
884812.975699794;126
884812.983377829;124
884812.991055863;126
884812.998733898;129
884813.006411932;126
884813.014089967;106
884813.021768001;73
884813.029446036;55
884813.03712407;75
884813.044802105;103
884813.052480139;108
884813.060158174;108
884813.067836208;116
884813.075514242;126
884813.083192277;126
884813.090870311;126
884813.098548346;124
884813.10622638;124
884813.113904415;131
884813.121582449;144
884813.129260484;40
884813.136938518;293
884813.144616553;673
884813.152294587;665
884813.159972621;78
884813.167650656;384
884813.175328691;197
884813.183006725;40
884813.19068476;172
884813.198362794;159
884813.206040828;78
884813.213718863;108
884813.221396897;121
884813.229074932;75
884813.236752966;60
884813.244431001;55
884813.252109035;30
884813.25978707;10
884813.267465104;5
884813.275143138;27
884813.282821173;55
884813.290499207;75
884813.298177242;88
884813.305855276;93
884813.313533311;80
884813.321211345;60
884813.32888938;48
884813.336567414;37
884813.344245449;20
884813.351923483;5
884813.359601518;35
884813.367279552;75
884813.374957587;98
884813.382635621;103
884813.390313656;113
884813.39799169;118
884813.405669724;113
884813.413347759;111
884813.421025793;116
884813.428703828;118
884813.436381862;124
884813.444059897;129
884813.451737931;124
884813.459415966;116
884813.467094;121
884813.474772035;126
884813.482450069;124
884813.490128104;121
884813.497806138;118
884813.505484173;106
884813.513162207;75
884813.520840241;70
884813.528518276;93
884813.53619631;113
884813.543874345;124
884813.551552379;126
884813.559230414;116
884813.566908448;113
884813.574586483;118
884813.582264517;116
884813.589942552;108
884813.597620586;101
884813.605298621;108
884813.612976655;116
884813.620654689;17
884813.628332724;334
884813.636010758;620
884813.643688793;483
884813.651366827;116
884813.659044862;397
884813.666722896;136
884813.674400931;70
884813.682078965;197
884813.689757;146
884813.697435034;86
884813.705113069;118
884813.712791103;111
884813.720469137;78
884813.728147172;73
884813.735825206;60
884813.743503241;40
884813.751181275;25
884813.75885931;2
884813.766537344;22
884813.774215379;45
884813.781893413;70
884813.789571448;91
884813.797249482;88
884813.804927517;73
884813.812605551;55
884813.820283586;35
884813.82796162;17
884813.835639655;2
884813.843317689;22
884813.850995723;63
884813.858673758;101
884813.866351792;118
884813.874029827;129
884813.881707861;136
884813.889385896;139
884813.89706393;134
884813.904741965;124
884813.912419999;116
884813.920098033;116
884813.927776068;116
884813.935454102;116
